Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
14,Jacob deGrom (42664893),Casey Mize (42664900),Ryan Jeffers (42664995),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Aaron Judge (42664914),Cody Bellinger (42664955),Michael Siani (42665283),49800,161.57,67.22
15,Jacob deGrom (42664893),Casey Mize (42664900),Victor Caratini (42665071),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Aaron Judge (42664914),Giancarlo Stanton (42664976),Matt Wallner (42665050),49800,172.72,74.42
16,Jacob deGrom (42664893),Casey Mize (42664900),Ryan Jeffers (42664995),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Byron Buxton (42664947),Giancarlo Stanton (42664976),Trent Grisham (42665006),49300,174.88,76.98
17,Jacob deGrom (42664893),Casey Mize (42664900),Ryan Jeffers (42664995),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Yordan Alvarez (42664916),Matt Wallner (42665050),Alex Call (42665054),49500,164.84,63.18
18,Jacob deGrom (42664893),Casey Mize (42664900),Victor Caratini (42665071),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Byron Buxton (42664947),Cody Bellinger (42664955),Alex Call (42665054),48300,164.75,68.22
19,Jacob deGrom (42664893),Casey Mize (42664900),Ryan Jeffers (42664995),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Jose Caballero (42665105),Byron Buxton (42664947),Cody Bellinger (42664955),Matt Wallner (42665050),49300,176.07,77.00
20,Jacob deGrom (42664893),Casey Mize (42664900),Ryan Jeffers (42664995),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Aaron Judge (42664914),Cody Bellinger (42664955),Michael Siani (42665283),49800,161.57,67.22
21,Jacob deGrom (42664893),Casey Mize (42664900),Victor Caratini (42665071),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Aaron Judge (42664914),Giancarlo Stanton (42664976),Matt Wallner (42665050),49800,172.72,74.42
22,Jacob deGrom (42664893),Casey Mize (42664900),Ryan Jeffers (42664995),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Byron Buxton (42664947),Giancarlo Stanton (42664976),Trent Grisham (42665006),49300,174.88,76.98
23,Jacob deGrom (42664893),Casey Mize (42664900),Ryan Jeffers (42664995),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Yordan Alvarez (42664916),Matt Wallner (42665050),Alex Call (42665054),49500,164.84,63.18
24,Jacob deGrom (42664893),Casey Mize (42664900),Victor Caratini (42665071),Josh Bell (42665000),Luke Keaschall (42664987),Carlos Correa (42664949),Brooks Lee (42665121),Byron Buxton (42664947),Cody Bellinger (42664955),Alex Call (42665054),48300,164.75,68.22
